State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,414,16,115
Alabama,266,7,51
South Carolina,260,3,40
Florida,234,6,57
Ohio,222,7,48
Pennsylvania,206,2,38
Oregon,184,2,25
Indiana,160,3,34
Louisiana,155,5,34
Georgia,144,4,32
California,130,10,44
Tennessee,124,5,27
Utah,110,2,20
Arizona,107,2,23
Oklahoma,95,3,28
North Carolina,86,7,35
Michigan,78,4,25
Iowa,77,2,15
Mississippi,75,3,25
Illinois,66,4,21
Washington,58,1,7
Kentucky,49,3,22
Virginia,45,6,29
Colorado,38,2,15
Missouri,38,1,14
Kansas,33,2,16
Arkansas,31,2,11
Massachusetts,19,3,9
Minnesota,19,1,9
Nebraska,15,1,6
Wisconsin,14,1,10
North Dakota,13,2,4
New Jersey,11,1,5
Idaho,9,1,5
West Virginia,8,2,8
Wyoming,8,1,3
Maryland,7,1,3
New York,6,2,6
Nevada,5,1,5
Connecticut,3,1,3
New Mexico,3,2,3
South Dakota,1,1,1
