1,1,Fernando Mendoza,Indiana,QB,2026-01-21,,,Indiana,Big Ten,35
2,2,Arvell Reese,Ohio State,LB,2026-01-21,,,Ohio,Big Ten,35
3,3,Rueben Bain,Miami (FL),EDGE,2026-01-21,,,Florida,ACC,35
4,4,Carnell Tate,Ohio State,WR,2026-01-21,,,Ohio,Big Ten,35
5,5,Caleb Downs,Ohio State,S,2026-01-21,,,Ohio,Big Ten,35
6,6,Francis Mauigoa,Miami (FL),OT,2026-01-21,,,Florida,ACC,35
7,7,Jordyn Tyson,Arizona State,WR,2026-01-21,,,Arizona,Big 12,35
8,8,Spencer Fano,Utah,OT,2026-01-21,,,Utah,Big 12,35
9,9,David Bailey,Texas Tech,EDGE,2026-01-21,,,Texas,Big 12,35
10,10,Jeremiyah Love,Notre Dame,RB,2026-01-21,,,Indiana,FBS - Independent,35
11,11,Keldric Faulk,Auburn,EDGE,2026-01-21,,,Alabama,SEC,30
12,12,Peter Woods,Clemson,DL,2026-01-21,,,South Carolina,ACC,30
13,13,Mansoor Delane,LSU,CB,2026-01-21,,,Louisiana,SEC,30
14,14,Jermod McCoy,Tennessee,CB,2026-01-21,,,Tennessee,SEC,30
15,15,Sonny Styles,Ohio State,LB,2026-01-21,,,Ohio,Big Ten,30
16,16,Makai Lemon,USC,WR,2026-01-21,,,California,Big Ten,30
17,17,Kenyon Sadiq,Oregon,TE,2026-01-21,,,Oregon,Big Ten,30
18,18,Avieon Terrell,Clemson,CB,2026-01-21,,,South Carolina,ACC,30
19,19,Kadyn Proctor,Alabama,OT,2026-01-21,,,Alabama,SEC,30
20,20,Olaivavega Ioane,Penn State,IOL,2026-01-21,,,Pennsylvania,Big Ten,30
21,21,Kayden McDonald,Ohio State,DL,2026-01-21,,,Ohio,Big Ten,30
22,22,Cashius Howell,Texas A&M,EDGE,2026-01-21,,,Texas,SEC,30
23,23,Ty Simpson,Alabama,QB,2026-01-21,,,Alabama,SEC,30
24,24,Denzel Boston,Washington,WR,2026-01-21,,,Washington,Big Ten,30
25,25,Caleb Lomu,Utah,OT,2026-01-21,,,Utah,Big 12,30
26,26,T.J. Parker,Clemson,EDGE,2026-01-21,,,South Carolina,ACC,25
27,27,Kevin Concepcion,Texas A&M,WR,2026-01-21,,,Texas,SEC,25
28,28,C.J. Allen,Georgia,LB,2026-01-21,,,Georgia,SEC,25
29,29,Caleb Banks,Florida,DL,2026-01-21,,,Florida,SEC,25
30,30,Brandon Cisse,South Carolina,CB,2026-01-21,,,South Carolina,SEC,25
31,31,Colton Hood,Tennessee,CB,2026-01-21,,,Tennessee,SEC,25
32,32,Emmanuel Pregnon,Oregon,IOL,2026-01-21,,,Oregon,Big Ten,25
33,33,Christen Miller,Georgia,DL,2026-01-21,,,Georgia,SEC,25
34,34,Gennings Dunker,Iowa,OT,2026-01-21,,,Iowa,Big Ten,25
35,35,Monroe Freeling,Georgia,OT,2026-01-21,,,Georgia,SEC,25
36,36,Akheem Mesidor,Miami (FL),EDGE,2026-01-21,,,Florida,ACC,20
37,37,R Mason Thomas,Oklahoma,EDGE,2026-01-21,,,Oklahoma,SEC,20
38,38,Romello Height,Texas Tech,EDGE,2026-01-21,,,Texas,Big 12,20
39,39,Anthony Hill Jr.,Texas,LB,2026-01-21,,,Texas,SEC,20
40,40,Emmanuel McNeil-Warren,Toledo,S,2026-01-21,,,Ohio,FBS - MAC,20
41,41,Trinidad Chambliss,Ole Miss,QB,2026-01-21,,,Mississippi,SEC,20
42,42,Keith Abney II,Arizona State,CB,2026-01-21,,,Arizona,Big 12,20
43,43,Chris Bell,Louisville,WR,2026-01-21,,,Kentucky,ACC,20
44,44,Elijah Sarratt,Indiana,WR,2026-01-21,,,Indiana,Big Ten,20
45,45,L.T. Overton,Alabama,EDGE,2026-01-21,,,Alabama,SEC,20
46,46,Chris Johnson,San Diego State,CB,2026-01-21,,,California,FBS - Mountain West,20
47,47,Zachariah Branch,Georgia,WR,2026-01-21,,,Georgia,SEC,20
48,48,Lee Hunter,Texas Tech,DL,2026-01-21,,,Texas,Big 12,20
49,49,Dillon Thieneman,Oregon,S,2026-01-21,,,Oregon,Big Ten,20
50,50,Zion Young,Missouri,EDGE,2026-01-21,,,Missouri,SEC,20
51,51,Caleb Tiernan,Northwestern,OT,2026-01-21,,,Illinois,Big Ten,20
52,52,Germie Bernard,Alabama,WR,2026-01-21,,,Alabama,SEC,20
53,53,Chris Brazzell,Tennessee,WR,2026-01-21,,,Tennessee,SEC,20
54,54,Connor Lew,Auburn,IOL,2026-01-21,,,Alabama,SEC,20
55,55,A.J. Haulcy,LSU,S,2026-01-21,,,Louisiana,SEC,20
56,56,Jonah Coleman,Washington,RB,2026-01-21,,,Washington,Big Ten,20
57,57,Blake Miller,Clemson,OT,2026-01-21,,,South Carolina,ACC,20
58,58,Garrett Nussmeier,LSU,QB,2026-01-21,,,Louisiana,SEC,20
59,59,Zakee Wheatley,Penn State,S,2026-01-21,,,Pennsylvania,Big Ten,20
60,60,Kamari Ramsey,USC,S,2026-01-21,,,California,Big Ten,15
61,61,Jake Golday,Cincinnati,LB,2026-01-21,,,Ohio,Big 12,15
62,62,D'angelo Ponds,Indiana,CB,2026-01-21,,,Indiana,Big Ten,15
63,63,Dani Dennis-Sutton,Penn State,EDGE,2026-01-21,,,Pennsylvania,Big Ten,15
64,64,Isaiah World,Oregon,OT,2026-01-21,,,Oregon,Big Ten,15
65,65,Ja'Kobi Lane,USC,WR,2026-01-21,,,California,Big Ten,15
66,66,Chase Bisontis,Texas A&M,IOL,2026-01-21,,,Texas,SEC,15
67,67,Julian Neal,Arkansas,CB,2026-01-21,,,Arkansas,SEC,15
68,68,Joshua Josephs,Tennessee,EDGE,2026-01-21,,,Tennessee,SEC,15
69,69,Domonique Orange,Iowa State,DL,2026-01-21,,,Iowa,Big 12,15
70,70,Josiah Trotter,Missouri,LB,2026-01-21,,,Missouri,SEC,15
71,71,Max Iheanachor,Arizona State,OT,2026-01-21,,,Arizona,Big 12,10
72,72,Deontae Lawson,Alabama,LB,2026-01-21,,,Alabama,SEC,10
73,73,Keionte Scott,Miami (FL),CB,2026-01-21,,,Florida,ACC,10
74,74,Carter Smith,Indiana,OT,2026-01-21,,,Indiana,Big Ten,10
75,75,Devin Moore,Florida,CB,2026-01-21,,,Florida,SEC,10
76,76,Omar Cooper Jr.,Indiana,WR,2026-01-21,,,Indiana,Big Ten,10
77,77,Malik Muhammad,Texas,CB,2026-01-21,,,Texas,SEC,10
78,78,Max Klare,Ohio State,TE,2026-01-21,,,Ohio,Big Ten,10
79,79,Jadarian Price,Notre Dame,RB,2026-01-21,,,Indiana,FBS - Independent,10
80,80,Brian Parker II,Duke,OT,2026-01-21,,,North Carolina,ACC,10
81,81,Eli Stowers,Vanderbilt,TE,2026-01-21,,,Tennessee,SEC,10
82,82,Michael Trigg,Baylor,TE,2026-01-21,,,Texas,Big 12,10
83,83,Emmett Johnson,Nebraska,RB,2026-01-21,,,Nebraska,Big Ten,10
84,84,Davison Igbinosun,Ohio State,CB,2026-01-21,,,Ohio,Big Ten,10
85,85,Antonio Williams,Clemson,WR,2026-01-21,,,South Carolina,ACC,10
86,86,Will Lee III,Texas A&M,CB,2026-01-21,,,Texas,SEC,10
87,87,Harold Perkins,LSU,LB,2026-01-21,,,Louisiana,SEC,10
88,88,Skyler Bell,UConn,WR,2026-01-21,,,Connecticut,FBS - AAC,10
89,89,Malachi Fields,Notre Dame,WR,2026-01-21,,,Indiana,FBS - Independent,10
90,90,Carson Beck,Miami (FL),QB,2026-01-21,,,Florida,ACC,10
91,91,Dontay Corleone,Cincinnati,DL,2026-01-21,,,Ohio,Big 12,10
92,92,Gabe Jacas,Illinois,EDGE,2026-01-21,,,Illinois,Big Ten,10
93,93,Jake Slaughter,Florida,IOL,2026-01-21,,,Florida,SEC,10
94,94,Jacob Rodriguez,Texas Tech,LB,2026-01-21,,,Texas,Big 12,10
95,95,Derrick Moore,Michigan,EDGE,2026-01-21,,,Michigan,Big Ten,10
96,96,Justin Joly,NC State,TE,2026-01-21,,,North Carolina,ACC,10
97,97,Parker Brailsford,Alabama,IOL,2026-01-21,,,Alabama,SEC,10
98,98,Chandler Rivers,Duke,CB,2026-01-21,,,North Carolina,ACC,10
99,99,Darrell Jackson Jr.,Florida State,DL,2026-01-21,,,Florida,ACC,10
100,100,Caden Curry,Ohio State,EDGE,2026-01-21,,,Ohio,Big Ten,10
101,101,Xavier Scott,Illinois,S,2026-01-21,,,Illinois,Big Ten,8
102,102,Jalon Kilgore,South Carolina,S,2026-01-21,,,South Carolina,SEC,8
103,103,Austin Barber,Florida,OT,2026-01-21,,,Florida,SEC,8
104,104,Kage Casey,Boise State,OT,2026-01-21,,,Idaho,FBS - Mountain West,8
105,105,Jude Bowry,Boston College,OT,2026-01-21,,,Massachusetts,ACC,8
106,106,Jack Endries,Texas,TE,2026-01-21,,,Texas,SEC,8
107,107,Logan Jones,Iowa,IOL,2026-01-21,,,Iowa,Big Ten,8
108,108,Taurean York,Texas A&M,LB,2026-01-21,,,Texas,SEC,8
109,109,Tacario Davis,Washington,CB,2026-01-21,,,Washington,Big Ten,8
110,110,Joe Royer,Cincinnati,TE,2026-01-21,,,Ohio,Big 12,8
111,111,Malachi Lawrence,UCF,EDGE,2026-01-21,,,Florida,Big 12,8
112,112,C.J. Daniels,Miami (FL),WR,2026-01-21,,,Florida,ACC,8
