School,Conference,ProjectedPoints,NumberOfProspects
Ohio State,Big Ten,227,22
Alabama,SEC,155,15
Clemson,ACC,148,22
Georgia,SEC,144,22
Miami (FL),ACC,143,18
Texas A&M,SEC,135,28
Indiana,Big Ten,130,16
Oregon,Big Ten,120,14
Texas Tech,Big 12,116,13
Penn State,Big Ten,115,20
LSU,SEC,109,17
Tennessee,SEC,108,14
USC,Big Ten,96,15
Utah,Big 12,84,9
Arizona State,Big 12,80,13
Notre Dame,FBS - Independent,79,16
Florida,SEC,72,15
Texas,SEC,70,16
Auburn,SEC,69,11
Iowa,Big Ten,68,14
Washington,Big Ten,64,5
Ole Miss,SEC,54,13
Oklahoma,SEC,50,14
Missouri,SEC,50,12
South Carolina,SEC,45,13
Arkansas,SEC,42,9
Cincinnati,Big 12,38,8
Illinois,Big Ten,36,14
Michigan,Big Ten,36,13
Louisville,ACC,31,8
Baylor,Big 12,29,10
Northwestern,Big Ten,28,8
SMU,ACC,27,14
Nebraska,Big Ten,27,9
Duke,ACC,27,5
Boston College,ACC,26,6
Vanderbilt,SEC,24,11
TCU,Big 12,23,12
Kentucky,SEC,23,12
Arizona,Big 12,23,9
Toledo,FBS - MAC,23,4
BYU,Big 12,21,12
San Diego State,FBS - Mountain West,21,2
NC State,ACC,20,7
Florida State,ACC,19,10
Wisconsin,Big Ten,18,8
Georgia Tech,ACC,18,6
Iowa State,Big 12,18,3
Mississippi State,SEC,16,8
Virginia,ACC,15,11
Pitt,ACC,15,8
Wake Forest,ACC,15,4
UCF,Big 12,14,6
Michigan State,Big Ten,14,4
UCLA,Big Ten,13,12
North Carolina,ACC,13,8
North Dakota State,FCS,13,3
Virginia Tech,ACC,12,11
California,ACC,12,6
Boise State,FBS - Mountain West,12,5
Southern Miss,FBS - CUSA,12,4
Kansas,Big 12,11,10
Syracuse,ACC,11,6
Kansas State,Big 12,11,3
UConn,FBS - AAC,11,2
Rutgers,Big Ten,10,6
Houston,Big 12,10,5
Colorado,Big 12,9,9
Stanford,ACC,9,5
Western Michigan,FBS - MAC,9,4
Georgia State,FBS - Sun Belt,9,3
UTSA,FBS - AAC,7,3
Wyoming,FBS - Mountain West,7,2
Memphis,FBS - AAC,6,5
Miami (OH),FBS - MAC,6,5
Minnesota,Big Ten,5,5
Maryland,Big Ten,5,4
Dartmouth,FCS,5,1
Tulane,FBS - AAC,4,4
Troy,FBS - Sun Belt,4,4
UNLV,FBS - Mountain West,4,4
Oklahoma State,Big 12,4,4
West Virginia,Big 12,4,4
Louisiana-Lafayette,FBS - Sun Belt,4,3
New Mexico,FBS - Mountain West,3,3
Texas State,FBS - Sun Belt,3,3
Oregon State,Pac 12,3,3
Navy,FBS - AAC,3,2
Incarnate Word,FCS,2,2
Stephen F. Austin,FCS,2,2
Marshall,FBS - CUSA,2,2
James Madison,FBS - Sun Belt,2,2
Charlotte,FBS - AAC,2,2
Jacksonville State,FBS - CUSA,2,2
Tulsa,FBS - AAC,2,2
Florida Atlantic,FBS - AAC,2,2
Youngstown State,FCS,2,2
Massachusetts,FBS - MAC,2,2
Bowling Green,FBS - MAC,2,2
Southeastern Louisiana,FCS,2,1
South Carolina State,FCS,2,1
South Alabama,FBS - Sun Belt,1,1
Buffalo,FBS - MAC,1,1
East Carolina,FBS - AAC,1,1
West Alabama,D2,1,1
Western Illinois,FCS,1,1
Central Michigan,FBS - MAC,1,1
Hawaii,FBS - Mountain West,1,1
Delaware State,FCS,1,1
McNeese State,FCS,1,1
Akron,FBS - MAC,1,1
UAB,FBS - AAC,1,1
Sacramento State,FCS,1,1
Nicholls State,FCS,1,1
Rice,FBS - AAC,1,1
Georgia Southern,FBS - Sun Belt,1,1
Coastal Carolina,FCS,1,1
San Jose State,FBS - Mountain West,1,1
North Dakota,FCS,1,1
South Dakota State,FCS,1,1
Fresno State,FBS - Mountain West,1,1
Cal Poly,FCS,1,1
UT Martin,FCS,1,1
Arkansas State,FBS - Sun Belt,1,1
Tarleton State,D2,1,1
New Mexico State,FBS - CUSA,1,1
Appalachian State,FBS - Sun Belt,1,1
Northern Illinois,FBS - MAC,1,1
Sam Houston State,FBS - CUSA,1,1
Old Dominion,FBS - CUSA,1,1
Florida A&M,FCS,1,1
Virginia State,D2,1,1
Purdue,Big Ten,1,1
Air Force,FBS - Mountain West,1,1
Abilene Christian,FCS,1,1
UC Davis,FCS,1,1
North Texas,FBS - AAC,1,1
East Tennessee State,FCS,1,1
