School,Conference,ProjectedPoints,NumberOfProspects
Oregon,Big Ten,272,31
Texas,SEC,198,20
Oklahoma,SEC,187,15
Georgia,SEC,185,26
South Carolina,SEC,149,17
Alabama,SEC,128,24
Ohio State,Big Ten,125,18
Miami (FL),ACC,121,16
LSU,SEC,100,23
Notre Dame,FBS - Independent,98,21
Michigan,Big Ten,92,18
Penn State,Big Ten,87,19
Florida,SEC,85,16
Clemson,ACC,85,15
Florida State,ACC,74,15
Kentucky,SEC,69,13
Missouri,SEC,67,10
Texas A&M,SEC,63,15
Ole Miss,SEC,60,17
Wisconsin,Big Ten,57,9
UCLA,Big Ten,49,6
USC,Big Ten,47,12
Nebraska,Big Ten,47,8
Stanford,ACC,45,5
Colorado,Big 12,43,13
Arkansas,SEC,43,12
Minnesota,Big Ten,42,12
Baylor,Big 12,42,4
TCU,Big 12,37,5
Oklahoma State,Big 12,36,7
North Carolina,ACC,31,7
Kansas State,Big 12,31,4
Indiana,Big Ten,30,8
Iowa,Big Ten,30,5
Auburn,SEC,29,13
Mississippi State,SEC,27,12
Louisville,ACC,26,8
NC State,ACC,26,7
Vanderbilt,SEC,25,2
Texas Tech,Big 12,23,13
Virginia Tech,ACC,23,8
Tennessee,SEC,22,7
California,ACC,22,3
Purdue,Big Ten,21,7
Wake Forest,ACC,21,6
West Virginia,Big 12,17,7
Kansas,Big 12,16,4
Arizona State,Big 12,15,5
Virginia,ACC,14,5
Georgia Tech,ACC,14,3
Northwestern,Big Ten,11,2
Rutgers,Big Ten,10,5
Liberty,FBS - CUSA,9,3
Houston,Big 12,9,2
Colorado State,FBS - Mountain West,9,2
BYU,Big 12,8,4
James Madison,FBS - Sun Belt,8,2
Syracuse,ACC,7,6
Michigan State,Big Ten,7,3
Utah,Big 12,7,1
South Florida,FBS - AAC,6,6
Duke,ACC,6,2
Holy Cross,FCS,6,1
East Tennessee State,FCS,5,1
Texas State,FBS - Sun Belt,5,1
Washington,Big Ten,4,4
Iowa State,Big 12,4,3
Pitt,ACC,3,3
Arizona,Big 12,3,3
UCF,Big 12,3,3
UNLV,FBS - Mountain West,3,2
Cincinnati,Big 12,2,2
SMU,ACC,2,2
Bowling Green,FBS - MAC,2,2
UConn,FBS - AAC,2,2
Illinois,Big Ten,2,2
Maryland,Big Ten,2,1
Sacramento State,FCS,1,1
Washington State,Pac 12,1,1
Southern Miss,FBS - CUSA,1,1
Memphis,FBS - AAC,1,1
Utah State,FBS - Mountain West,1,1
Massachusetts,FBS - MAC,1,1
Central Arkansas,FCS,1,1
UAB,FBS - AAC,1,1
Arkansas State,FBS - Sun Belt,1,1
Appalachian State,FBS - Sun Belt,1,1
Buffalo,FBS - MAC,1,1
Weber State,FCS,1,1
Boston College,ACC,1,1
Toledo,FBS - MAC,1,1
Coastal Carolina,FCS,1,1
East Carolina,FBS - AAC,1,1
Western Kentucky,FBS - CUSA,1,1
Florida Atlantic,FBS - AAC,1,1
Tulane,FBS - AAC,1,1
Georgia Southern,FBS - Sun Belt,1,1
Incarnate Word,FCS,1,1
